K1TR,SO LP ALL,PH,"445,994",
WB2NVR,SO LP ALL,CW,"424,200",
VA2UR,SO HP ALL,PH,"420,189",
N1ROZ,SO LP 10M,PH,"408,276",
K1JB,SO HP 20M,CW,"406,688",
NI1Q,SO LP ALL,CW,"369,495",N1DID
WO1N,SO LP ALL,PH,"366,210",
KE2CWJ,SO LP ALL,PH,"344,761",
NU3C,SO HP ALL,CW,"343,860",
K1ZZ,SO HP ALL,PH,"334,978",
VE9ENT,SO LP ALL,PH,"331,436",
K1DJ,SO HP ALL,CW,"326,136",
KG1V,SO LP ALL,CW,"319,815",
AC5XK,SO LP ALL,CW,"295,604",
W3SM,SO HP ALL,CW,"290,151",
NJ1T,SO LP ALL,CW,"289,545",
KW1X,SO LP ALL,PH,"286,550",
N1ALO,SO LP ALL,PH,"284,960",
K1TKT,SO HP ALL,PH,"284,048",
K1RX,SO HP ALL,PH,"279,887",
K1RO,SO HP ALL,CW,"275,913",
NG1R,SO LP 15M,PH,"266,272",W1QK
KG1E,SO HP 40M,PH,"254,508",
K1MT,SO HP ALL,PH,"231,495",
N1NQD,SO LP ALL,CW,"230,480",
VA2UR,SO HP ALL,CW,"217,490",
WV1K,SO HP 10M,PH,"214,887",N1IXF
KA2KON,SO LP ALL,PH,"209,916",
VE9FR,SO LP ALL,PH,"189,774",
K1BZ,SO HP ALL,CW,"185,740",
K1TH,SO LP ALL,CW,"183,303",
W1DYJ,SO LP ALL,PH,"180,574",
AG1C,MULTI-TWO,CW,"174,906",AG1C K1RDD
WU2X,SO HP ALL,PH,"166,140",N2QV
K1BZ,SO HP ALL,PH,"142,760",
W1TO,SO HP ALL,CW,"142,008",
N1IBM,SO LP 10M,PH,"140,904",
K1VR,SO LP ALL,CW,"125,658",
W1DYJ,SO LP ALL,CW,"124,740",
W1JGM,SO HP ALL,PH,"123,213",
KE1VT,SO HP ALL,PH,"118,008",
N1IBM,SO HP ALL,CW,"117,216",
NZ1U,SO HP ALL,CW,"115,570",W1UJ
K1TH,SO HP ALL,PH,"111,250",
KG1E,SO HP 40M,CW,"111,125",
KG1V,SO LP ALL,PH,"102,336",
WB2NVR,SO LP ALL,PH,"82,524",
VE2NTT,SO LP 20M,PH,"80,370",
W1NSK,SO LP ALL,PH,"75,674",
W2TT,SO LP ALL,CW,"67,080",
W1NR,SO HP ALL,PH,"65,400",
KA2KON,SO LP ALL,CW,"63,375",
N1EN,SO LP ALL,CW,"59,202",
W2CS,SO HP ALL,CW,"58,801",W2CS@W2CS
K1VOI,SO HP ALL,PH,"47,740",
KE1IH,SO HP ALL,CW,"32,264",
W1JQ,SO HP ALL,CW,"24,596",
NF1O,SO HP ALL,PH,"22,860",
NE1F,SO HP ALL,PH,"21,840",
W1MJ,SO LP ALL,PH,"21,318",
AG2K,SO HP ALL,PH,"18,023",
WF1OC,SO HP ALL,CW,"16,576",W1RM
W1MJ,MULTI-ONE LOW,CW,"11,088",K1TWF W1MJ
N1PGA,SO HP 10M,PH,"11,020",
NV1Q,SO LP ALL,CW,"10,804",
K1GQ,SO HP ALL,PH,"10,350",
KA1IOR,SO HP 40M,CW,"9,604",
WV1M,SO HP ALL,CW,"7,280",
W1TO,SO HP 10M,PH,"7,200",
NJ1F,MULTI-ONE LOW,PH,"3,354",K1RQ NJ1F
KC1QEM,SO LP ALL,CW,"2,914",
KA1API,SO LP 20M,CW,"2,883",
K1LHO,SO LP ALL,CW,"2,176",
KZ1M,SO HP ALL,PH,"1,830",
K1ZM,SO HP 160M,CW,"1,742",
KE1LI,SO LP 10M,PH,"1,225",
W1VKE,SO QRP 20M,CW,987,
AA1IT,SO LP 20M,CW,325,
KA1ZD,SO HP 10M,PH,126,
K1MT,SO HP 20M,CW,77,
K1NY,SO LP 10M,CW,24,
